Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	505961	10	CMPv2 Laser Mark IFOV	93
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	518447	10	CMPv2 Laser Mark IFOV	50
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	495464	10	CMPv2 Laser Mark IFOV	36
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	502177	10	CMPv2 Laser Mark IFOV	26
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	503532	10	CMPv2 Laser Mark IFOV	54
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	512800	10	CMPv2 Laser Mark IFOV	38
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	512998	10	CMPv2 Laser Mark IFOV	24
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	510090	10	CMPv2 Laser Mark IFOV	20
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	515720	10	CMPv2 Laser Mark IFOV	56
EFZ01755-01-01	XSP3-10 LABEL SILVER BRUSHED PLASTIC	500085	10	CMPv2 Laser Mark IFOV	30
MFB32500-03	Base Assy, ANT95L-075, Lasermarked	466595	10	CMPv2 Laser Mark IFOV	1
ES19888-01	2" Fast Steering Mirror Assembly, Gen1	477436	40	CMPv2 Galvo Systems	8
MFB05158-08	Mirror Mount Assembly, AGV-HPO, 10mm X Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	520030	10	CMPv2 Galvo Systems	1
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	492655	10	CMP-Galvo Systems	37
ES19888-01	2" Fast Steering Mirror Assembly, Gen1	477432	30	CMPv2 Galvo Systems	12
20101-05	AGV-CPO ROTOR ASSEMBLY PROTOTYPE, 2 MM CROSS-DRILLED PIN	515928	10	CMP-Galvo Systems	10
MFB05162-08	Mirror Mount Assembly, AGV-HPO, 14mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	499022	10	CMPv2 Galvo Systems	1
MFB05162-08	Mirror Mount Assembly, AGV-HPO, 14mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	515933	10	CMPv2 Galvo Systems	1
